Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Dice.dice_soft/importance/monad-bayes sampler/50304",0.14139687375930918,0.13978184675665406,0.14268430265441656,3.2510472535784533e-3,2.4452825502304988e-3,4.422432442238426e-3
"Dice.dice_soft/importance/monad-bayes sampler/57344",0.16249197659883502,0.1605741733670353,0.16444342837211612,4.279956531441446e-3,3.449928166510506e-3,5.397067585913917e-3
"Dice.dice_soft/importance/monad-bayes sampler/64384",0.18180583131391076,0.1803019640783615,0.18367556576645325,3.506187285257487e-3,2.807554250260734e-3,4.497514165626112e-3
"Dice.dice_soft/importance/random-fu sampler/1024",3.282639789520545e-3,3.2728501460726274e-3,3.2955393677418167e-3,4.9272753793199956e-5,4.189420543400514e-5,6.13729348570494e-5
"Dice.dice_soft/importance/random-fu sampler/8064",2.7024700388262757e-2,2.6941831562270174e-2,2.7112074134836205e-2,2.8047332528679153e-4,2.282991052526819e-4,3.531414602236617e-4
"Dice.dice_soft/importance/random-fu sampler/15104",5.1151984364111364e-2,5.088496700518673e-2,5.139325527325367e-2,7.195316556194118e-4,6.016888089490005e-4,8.705645016112656e-4
"Dice.dice_soft/importance/random-fu sampler/22144",7.5912818331131e-2,7.541528745459346e-2,7.641386908849791e-2,1.316980120056592e-3,9.295422275936056e-4,2.0967501948234756e-3
"Dice.dice_soft/importance/random-fu sampler/29184",0.10053817848528225,0.10016816736386823,0.10138142463096246,1.4140601175519898e-3,7.371849213994397e-4,2.4424028288277094e-3
"Dice.dice_soft/importance/random-fu sampler/36224",0.12622787546355058,0.1254703415016753,0.12836593100640106,2.646047354742037e-3,1.1051558258617184e-3,4.915906001007231e-3
"Dice.dice_soft/importance/random-fu sampler/43264",0.1492751619431206,0.1483105826610923,0.1505419707711631,2.464701390295528e-3,1.8577716279408554e-3,3.616437922534731e-3
"Dice.dice_soft/importance/random-fu sampler/50304",0.17273917008190748,0.1707810750817878,0.1740470974155237,3.521587918105607e-3,2.4638854026179506e-3,5.134723428481645e-3
"Dice.dice_soft/importance/random-fu sampler/57344",0.19700539063521097,0.19533427582166754,0.19883737032982285,3.7182140458548725e-3,2.956402360499772e-3,4.663499815862047e-3
"Dice.dice_soft/importance/random-fu sampler/64384",0.2226490492423698,0.2206725370481705,0.22448055545150972,3.628018948594997e-3,2.8685158531576303e-3,4.624268313671126e-3
"Dice.dice_soft/smc/monad-bayes sampler/1024",2.955621456645193e-2,2.946314305057046e-2,2.9685322744497263e-2,3.7351132076311364e-4,2.3776534430220014e-4,6.450691047356063e-4
"Dice.dice_soft/smc/monad-bayes sampler/8064",0.2322229745362652,0.23170708258175288,0.23293815994394165,1.2112819485356992e-3,8.945641612619394e-4,1.789143268458691e-3
"Dice.dice_soft/smc/monad-bayes sampler/15104",0.4351703164545643,0.4336125251598332,0.43649842055263655,2.3803032609298284e-3,1.7328655556407863e-3,3.2094282867182102e-3
"Dice.dice_soft/smc/monad-bayes sampler/22144",0.6345712201424986,0.6337455410912204,0.6358253437711784,1.4996499829549417e-3,8.821699828009886e-4,2.340445512789518e-3
"Dice.dice_soft/smc/monad-bayes sampler/29184",0.8368671707392106,0.8351149086754998,0.8385906234337388,2.4166339999017374e-3,1.8067380614881251e-3,2.9219241978525085e-3
"Dice.dice_soft/smc/monad-bayes sampler/36224",1.038873973613758,1.0329103650643032,1.0424832192956341,6.48374082794817e-3,3.605212088592783e-3,9.701780987403834e-3
"Dice.dice_soft/smc/monad-bayes sampler/43264",1.2415921553976828,1.2366910732860272,1.2456975976728253,5.654209967987584e-3,3.1640310735807004e-3,8.07918563957354e-3
"Dice.dice_soft/smc/monad-bayes sampler/50304",1.4419363341956695,1.4382535650302621,1.445401861468631,4.254302945123709e-3,5.016986603315565e-4,5.2424628110030345e-3
"Dice.dice_soft/smc/monad-bayes sampler/57344",1.6492135863546284,1.6427060846254786,1.654055183907129,6.299145756942833e-3,2.94626748570459e-3,7.736807873841767e-3
"Dice.dice_soft/smc/monad-bayes sampler/64384",1.852896832586829,1.8485948897614164,1.8554246324249246,4.249361211866191e-3,1.6712231085567733e-3,5.837703667928054e-3
"Dice.dice_soft/smc/random-fu sampler/1024",2.297997855687775e-2,2.2893348011759337e-2,2.3096563194995916e-2,3.478421156142456e-4,2.618228161910007e-4,4.661432445256786e-4
"Dice.dice_soft/smc/random-fu sampler/8064",0.1834615412299027,0.18289211460986612,0.1846559831482685,1.6893923686457217e-3,9.484510833332239e-4,2.8165875429062535e-3
"Dice.dice_soft/smc/random-fu sampler/15104",0.3434442688141161,0.34259667820223305,0.3442116917071456,1.442507820326091e-3,1.1196654542897741e-3,1.9178929396281858e-3
